"CNPJ_Companhia","Data_Referencia","Versao","ID_Documento","Quantidade_Acionistas_PF","Quantidade_Acionistas_PJ","Quantidade_Acionistas_Investidores_Institucionais","Quantidade_Acoes_Ordinarias_Circulacao","Percentual_Acoes_Ordinarias_Circulacao","Quantidade_Acoes_Preferenciais_Circulacao","Percentual_Acoes_Preferenciais_Circulacao","Quantidade_Total_Acoes_Circulacao","Percentual_Total_Acoes_Circulacao","Data_Ultima_Assembleia"
"08.764.621/0001-53","2021-01-01",4,106618,1950,4,21,1428328,74.053865,0,0,1428328,74.053865,"2021-04-26"
"08.769.451/0001-08","2021-01-01",9,110266,0,1,0,0,0,0,0,0,0,"2020-10-01"
"08.769.451/0001-08","2021-12-31",3,101031,0,1,0,0,0,0,0,0,0,"2020-10-01"
"08.773.135/0001-00","2021-01-01",10,110746,23,2,0,1987095,1.75,0,0,1987095,1.75,"2021-08-25"
"08.773.191/0001-36","2021-01-01",1,105324,0,2,0,0,0,0,0,0,0,"2021-04-30"
"08.795.211/0001-70","2021-01-01",1,105502,3,1,3,0,0,0,0,0,0,"2015-04-29"
"08.797.760/0001-83","2021-01-01",3,107324,15233,212,55,104486454,35.8,0,0,104486454,35.8,"2021-04-23"
"08.801.621/0001-86","2021-01-01",8,110739,9363,108,120,59660124,39.084,0,0,59660124,39.084,"2021-04-30"
"08.807.432/0001-10","2021-01-01",6,110643,40062,455,713,300833122,97.329,0,0,300833122,97.329,"2021-04-28"
"08.810.422/0001-34","2021-01-01",2,107223,3,1,1,0,0,0,0,0,0,"2021-07-12"
"08.811.643/0001-27","2021-01-01",1,105033,54410,456,170,83225626,44.597,0,0,83225626,44.597,"2021-04-23"
"08.822.767/0001-08","2021-01-01",3,109546,0,1,0,0,100,0,0,0,100,"2018-12-14"
"08.827.501/0001-58","2021-01-01",5,109130,0,5,0,207858034,29.27757,273447399,88.44915,481305433,47.22782,"2021-07-01"
"08.873.873/0001-10","2021-01-01",12,110617,0,1,0,0,0,0,0,0,0,"2021-04-27"
"08.902.291/0001-15","2021-01-01",6,110757,85359,2103,2103,1120593365,20.041925,0,0,1120593365,20.041925,"2021-11-03"
"08.926.302/0001-05","2021-01-01",4,107411,62907,440,108,310021350,99.976871,0,0,310021350,99.976871,"2021-07-26"
"08.935.054/0001-50","2021-01-01",2,110408,0,2,1,3788360,48.089427,6843555,99.999971,10631915,100,"2017-11-21"
"08.937.002/0001-13","2021-01-01",1,104847,2,1,0,1293000,100,0,0,1293000,100,"2014-05-30"
"09.041.168/0001-10","2021-01-01",9,110600,21084,266,167,59190591,57.94,0,0,59190591,57.94,"2021-03-17"
"09.042.817/0001-05","2021-01-01",9,110626,13013,173,173,86869818,95.557,0,0,86869818,95.557,"2021-05-19"
"09.053.134/0001-45","2021-01-01",7,109334,18,0,5,87826271,18.249,0,0,87826271,18.249,"2021-02-26"
"09.054.385/0001-44","2021-01-01",1,105069,12,3,0,126253,0.907,0,0,126253,0.907,"2020-12-18"
"09.074.183/0001-64","2021-01-01",1,105252,0,1,0,428071225,100,0,0,428071225,100,"2018-04-27"
"09.083.175/0001-84","2021-01-01",7,110678,52422,518,343,67808642,53.6,0,0,67808642,53.6,"2021-04-30"
"09.095.183/0001-40","2021-01-01",3,110909,0,1,0,0,0,0,0,0,0,"2021-04-29"
"09.112.685/0001-32","2021-01-01",2,107289,5219,15,4,1592166,50.576454,0,0,1592166,50.576454,"2021-04-30"
"09.114.805/0001-30","2021-01-01",8,110647,3917,179,32,123217826,61.621375,0,0,123217826,61.621375,"2021-04-30"
"09.116.278/0001-01","2021-01-01",1,105084,0,1,0,14048567,77.52,4073532,24.8,18122099,100,"2013-04-29"
"09.146.451/0001-06","2021-01-01",7,110680,3,1,0,0,0,0,0,0,0,"2021-11-11"
"09.149.503/0001-06","2021-01-01",9,110778,10583,107,460,125992213,63.005135,0,0,125992213,63.005135,"2021-04-30"
"09.229.201/0001-30","2021-01-01",4,110652,43,2,2,385222623,57.71,0,0,385222623,57.71,"2021-03-26"
"09.257.877/0001-37","2021-01-01",1,104812,0,1,0,0,0,0,0,0,0,"2019-04-30"
"09.267.996/0001-70","2021-01-01",2,106360,2,0,0,0,0,0,0,0,0,"2021-06-15"
"09.288.252/0001-32","2021-01-01",3,108840,19378,275,392,289440660,71.667001,0,0,289440660,71.667001,"2021-04-26"
"09.295.063/0001-97","2021-01-01",6,110491,13814,77,44,50121310,63.843748,0,0,50121310,63.843748,"2021-11-26"
"09.304.427/0001-58","2021-01-01",1,105341,3,0,0,9e+05,100,0,0,9e+05,100,"2020-04-30"
"09.305.994/0001-29","2021-01-01",4,110710,121168,1036,221,306558420,33,327741172,98.242213,634299592,50.238754,"2021-04-29"
"09.313.969/0001-97","2021-01-01",6,110287,0,1,0,0,0,0,0,0,0,"2021-10-14"
"09.324.949/0001-11","2021-01-01",2,106493,0,1,0,0,0,0,0,0,0,"2014-04-16"
"09.325.109/0001-73","2021-01-01",2,106532,0,1,0,0,0,0,0,0,99.999999,"2014-04-17"
"09.326.342/0001-70","2021-01-01",1,104963,0,1,0,0,0,0,0,0,0,"2016-05-05"
"09.336.431/0001-06","2021-01-01",3,108924,0,1,0,0,0,0,0,0,0,"2014-04-17"
"09.346.601/0001-25","2021-01-01",11,110858,386804,3629,1488,6065856318,99.018222,0,0,6065856318,99.018222,"2021-12-09"
"09.347.516/0001-81","2021-01-01",7,110843,1583,13,96,47550775,34.438781,0,0,47550775,34.438781,"2021-04-30"
"09.359.927/0001-97","2021-01-01",2,110865,0,1,0,0,0,0,0,0,0,"2021-11-30"
"09.391.823/0001-60","2021-01-01",4,108643,0,1,0,0,0,0,0,0,0,"2021-04-28"
"09.414.761/0001-64","2021-01-01",3,109757,0,1,0,0,0,0,0,0,0,"2018-11-23"
"09.527.023/0001-23","2021-01-01",2,108948,0,1,0,0,0,0,0,0,0,"2021-09-17"
"09.611.768/0001-76","2021-01-01",2,105845,5,0,0,0,0,0,0,0,0,"2020-06-09"
"09.625.321/0001-56","2021-01-01",3,108883,0,5,0,0,0,0,0,0,0,"2021-09-23"
"09.813.204/0001-16","2021-01-01",4,108129,6,2,0,0,0,0,0,0,0,"2020-09-21"
"10.139.870/0001-08","2021-01-01",3,108982,73836,617,138,109743428,45.982718,0,0,109743428,45.982718,"2021-04-30"
"10.215.988/0001-60","2021-01-01",6,110389,31505,1020,732,324522975,63.791,0,0,324522975,63.791,"2021-04-28"
"10.234.027/0001-00","2021-01-01",4,110172,0,2,0,0,0,0,0,0,0,"2018-05-08"
"10.240.186/0001-00","2021-01-01",4,110168,0,2,0,0,0,0,0,0,0,"2018-05-08"
"10.285.590/0001-08","2021-01-01",15,110975,44571,1027,568,489194623,62.337848,0,0,489194623,62.337848,"2021-09-14"
"10.324.624/0001-18","2021-01-01",4,110412,0,1,0,0,0,0,0,0,0,"2021-11-08"
"10.338.320/0001-00","2021-01-01",4,106606,3222,273,7,862287,1.37,0,0,862287,1.37,"2021-04-07"
"10.440.482/0001-54","2021-01-01",9,110763,230961,16492,1075,90675851,9.537613,97626953,10.657921,188302804,10.08735,"2021-10-20"
"10.464.223/0001-63","2021-01-01",3,106417,3,1,0,0,0,0,0,0,0,"2021-07-12"
"10.488.244/0001-19","2021-01-01",1,105307,0,2,0,10000,100,0,0,10000,100,"2013-12-27"
"10.502.676/0001-37","2021-01-01",1,105306,0,1,0,0,0,0,0,0,0,"2014-07-14"
"10.531.501/0001-58","2021-01-01",2,105872,0,1,0,4094242310,50,4094242309,50,8188484619,100,"2021-02-15"
"10.571.175/0001-02","2021-01-01",3,108555,7,2,0,0,0,0,0,0,0,"2021-04-30"
"10.608.405/0001-60","2021-01-01",14,110585,1,1,0,2750000,100,0,0,2750000,100,"2020-10-01"
"10.629.105/0001-68","2021-01-01",6,110859,72118,438,876,839159130,95.54,0,0,839159130,95.54,"2021-04-20"
"10.635.691/0001-53","2021-01-01",2,106518,0,1,0,249500000,50,249500000,50,4.99e+08,100,"2020-09-01"
"10.647.979/0001-48","2021-01-01",3,110382,0,2,0,0,0,0,0,0,0,"2021-05-11"
"10.670.314/0001-55","2021-01-01",3,108609,0,2,0,0,0,0,0,0,0,"2021-04-30"
"10.678.505/0001-63","2021-01-01",1,110601,0,2,0,0,0,0,0,0,0,"2015-06-30"
"10.739.356/0001-03","2021-01-01",10,110759,4347,16,78,56875160,29.069,113750320,96.153,170625480,54.347,"2021-06-25"
"10.753.164/0001-43","2021-01-01",5,110641,1,0,0,0,0,0,0,0,0,"2020-05-06"
"10.760.260/0001-19","2021-01-01",5,108565,157237,599,537,224231429,99.687296,0,0,224231429,99.687296,"2021-04-27"
"10.807.374/0001-77","2021-01-01",6,106201,31626,458,88,46459548,39.7,0,0,46459548,39.7,"2021-05-28"
"10.835.932/0001-08","2021-01-01",6,109666,1345,221,31,280143,0.42,7445048,89.59,7725191,10.35,"2021-04-08"
"10.841.050/0001-55","2021-01-01",11,110613,0,1,0,0,0,0,0,0,0,"2021-04-27"
"10.851.805/0001-00","2021-01-01",1,105609,0,1,1,0,0,0,0,0,0,"2017-08-31"
"11.257.352/0001-43","2021-01-01",1,104970,1,1,0,0,0,0,0,0,0,"2014-08-01"
"11.274.829/0001-07","2021-01-01",4,110400,0,2,0,0,0,0,0,0,0,"2019-04-30"
"11.284.204/0001-18","2021-01-01",2,110568,3,2,0,7608855,23.544,0,0,7608855,23.544,"2021-04-30"
"11.421.994/0001-36","2021-01-01",5,110506,8985,28,339,33533742,46.9,0,0,33533742,46.9,"2021-09-28"
"11.669.021/0001-10","2021-01-01",2,108156,58360,496,377,76634938,28.83,0,0,76634938,28.83,"2021-04-30"
"11.716.471/0001-17","2021-01-01",2,109452,1,1,0,28905,100,0,0,28905,100,"2020-09-30"
"11.721.921/0001-60","2021-01-01",5,109322,4036,21,105,14714997,96.603958,0,0,14714997,96.603958,"2021-10-22"
"11.725.176/0001-27","2021-01-01",7,108794,1509,14,182,531381332,99.98889,0,0,531381332,99.98889,"2021-08-05"
"11.992.680/0001-93","2021-01-01",3,110676,58478,583,256,277027077,97.539825,0,0,277027077,97.539825,"2021-10-29"
"12.049.631/0001-84","2021-01-01",6,110979,5607,131,51,56957595,67.1,0,0,56957595,67.1,"2021-04-30"
"12.091.809/0001-55","2021-01-01",16,111011,44389,689,807,199733824,98.6,0,0,199733824,98.6,"2021-11-09"
"12.104.241/0004-02","2021-01-01",9,110988,29,2,0,135788449,27.268,0,0,135788449,27.268,"2021-07-07"
"12.108.897/0001-50","2021-01-01",3,107892,19890,239,40,23536205,46.512,0,0,23536205,46.512,"2021-04-26"
"12.130.744/0001-00","2021-01-01",6,110403,0,2,0,0,0,0,0,0,0,"2018-05-25"
"12.139.922/0001-63","2021-01-01",1,105068,1,1,0,0,0,0,0,0,0,"2021-04-30"
"12.181.987/0001-77","2021-01-01",2,109004,7714,125,31,76155470,36.619,0,0,76155470,36.619,"2021-04-26"
"12.261.588/0001-16","2021-01-01",1,104740,3,0,0,0,0,0,0,0,0,"2010-05-31"
"12.300.288/0001-07","2021-01-01",7,109054,0,10,2,0,0,0,0,0,0,"2021-04-28"
"12.320.349/0001-90","2021-01-01",1,104890,1,1,0,826755,100,0,100,826755,100,"2018-07-30"
"12.420.164/0001-57","2021-01-01",11,109556,190,6,112,115680492,40.43,0,0,115680492,40.43,"2021-08-13"
"12.489.315/0001-23","2021-01-01",1,105086,0,2,0,0,0,0,0,0,0,"2021-04-26"
"12.528.708/0001-07","2021-01-01",4,108688,86676,279,270,218058827,28.459279,0,0,218058827,28.459279,"2021-05-21"
"12.648.266/0001-24","2021-01-01",5,108984,26391,242,305,43853759,38.82,0,0,43853759,38.82,"2021-09-17"
"12.648.327/0001-53","2021-01-01",8,110912,9918,150,332,760109566,99.964087,0,0,760109566,99.964087,"2021-04-30"
"12.919.786/0001-24","2021-01-01",1,105185,0,1,0,0,0,0,0,0,0,"2020-07-24"
"12.979.898/0001-70","2021-01-01",3,107440,3,1,0,3007777,100,0,0,3007777,100,"2021-04-30"
"13.009.717/0001-46","2021-01-01",9,111031,3025,326,18,485708,6.36,1063110,13.91,1548818,10.13,"2021-04-13"
"13.017.462/0001-63","2021-01-01",3,110907,0,1,0,0,0,0,0,0,0,"2021-04-29"
"13.217.485/0001-11","2021-01-01",3,110305,47411,193,488,95476716,39.29,0,0,95476716,39.29,"2021-04-30"
"13.270.520/0001-66","2021-01-01",10,110880,905,13,81,155886379,20.3,0,0,155886379,20.3,"2021-11-18"
"13.349.677/0001-81","2021-01-01",2,109301,2,1,0,0,0,0,0,0,0,"2020-04-30"
"13.444.994/0001-87","2021-01-01",4,110455,56,49,38,1360526,46.91,0,0,1360526,46.91,"2020-07-31"
"13.457.942/0001-45","2021-01-01",2,109032,0,2,0,0,0,0,0,0,0,"2021-04-30"
"13.483.537/0001-00","2021-01-01",1,104989,0,2,0,0,0,0,0,0,0,"2011-04-06"
"13.574.594/0001-96","2021-01-01",7,110451,29857,137,392,272245759,98.870664,0,0,272245759,98.870664,"2021-04-29"
"13.584.310/0001-42","2021-01-01",1,105633,2,0,0,1e+06,1,0,0,1e+06,100,"2020-11-30"
"13.783.221/0004-78","2021-01-01",3,110490,7,1,0,0,0,0,0,0,0,"2021-11-29"
"14.110.585/0001-07","2021-01-01",10,109719,33,0,7,548153725,68.2063,0,0,548153725,68.2063,"2021-04-30"
"14.127.813/0001-51","2021-01-01",8,110974,38,1,10,42897889,85.412,0,0,42897889,85.412,"2021-05-07"
"14.308.514/0001-13","2021-01-01",1,105562,87,10,0,27699,21.983333,6880,21.919205,34579,21.940544,"2020-04-29"
"14.333.683/0001-03","2021-01-01",1,104818,0,1,0,0,0,0,0,0,0,"2018-03-02"
"14.388.334/0001-99","2021-01-01",4,108953,18,1,0,0,0,0,0,0,0,"2021-04-30"
"14.776.142/0001-50","2021-01-01",7,110804,7302,138,207,108526910,98.618648,0,0,108526910,98.618648,"2021-04-30"
"14.785.152/0001-51","2021-01-01",9,110985,490,78,78,25797246,25,0,0,25797246,25,"2021-06-30"
"14.807.945/0001-24","2021-01-01",1,105420,1962,59,0,2657920,34.45,5058480,65.55,7716400,100,"2021-04-26"
"14.876.090/0001-93","2021-01-01",10,108177,1,1,0,1190148,100,0,0,1190148,100,"2020-12-14"
"14.882.295/0001-81","2021-01-01",4,108761,0,5,0,33934772,24.48,0,0,33934772,24.48,"2021-09-09"
"14.998.371/0001-19","2021-01-01",2,110409,30,6,0,10674856,100,8692854,100,19367710,100,"2019-12-30"
"15.073.274/0001-88","2021-01-01",1,105478,0,0,8,0,0,2814666,100,2814666,100,"2020-03-18"
"15.101.405/0001-93","2021-01-01",1,103043,276,19,2,2106,26.95,14716,95.94,16822,72.66,"2019-04-25"
"15.115.504/0001-24","2021-01-01",1,105219,4127,174,50,10158398,35,18860349,65,29018747,100,"2020-04-29"
"15.139.629/0001-94","2021-01-01",12,110625,2377,160,141,2452754,1.61,305402,0.28,2758156,1.05,"2021-04-08"
"15.141.799/0001-03","2021-01-01",3,111026,24036,318,72,312688,1.062119,40165900,68.216542,40478588,45.831735,"2021-04-20"
"15.144.017/0001-90","2021-01-01",3,106577,948,23,3,1646938,42.889,1123016,29.245,2769954,48.88,"2021-03-30"
"15.229.110/0001-05","2021-01-01",1,105008,2,0,0,0,0,0,0,0,0,"2012-07-03"
"15.377.572/0001-61","2021-01-01",1,105239,1,1,0,0,0,0,0,0,0,"2015-06-09"
"15.413.826/0001-50","2021-01-01",4,110917,1,2,0,421,0.07,0,0,421,0.07,"2021-04-30"
"15.484.093/0001-44","2021-01-01",13,110744,0,1,0,0,0,0,0,0,0,"2021-04-27"
"15.494.541/0001-90","2021-01-01",1,105579,0,2,0,4200,100,0,0,4200,100,"2021-04-30"
"15.527.906/0001-36","2021-01-01",1,97977,4854,15,32,61163399,5.993888,0,0,61163399,5.993888,"2020-09-02"
"15.527.906/0001-36","2021-03-31",6,106535,0,1,0,0,0,0,0,0,0,"2021-05-25"
"15.578.569/0001-06","2021-01-01",8,110673,0,2,0,3033541675,100,0,0,3033541675,100,"2017-12-07"
"15.688.041/0001-90","2021-01-01",1,105259,1,1,0,180000,100,0,0,180000,100,"2016-04-30"
"16.233.389/0001-55","2021-01-01",3,106800,8,2,0,0,0,2197442,9.71,2197442,9.71,"2021-04-07"
"16.234.171/0001-15","2021-01-01",3,108940,115,135,250,97768099,33.22,196571002,66.78,294339101,100,"2021-04-27"
"16.404.287/0001-55","2021-01-01",5,110156,61186,656,2037,726779281,53.390048,0,0,726779281,53.390048,"2021-04-27"
"16.590.234/0001-76","2021-01-01",4,110574,33334,178,421,53951069,54.150661,0,0,53951069,54.150661,"2021-04-29"
"16.614.075/0001-00","2021-01-01",3,109273,35729,362,290,75384053,50.256035,0,0,75384053,50.256035,"2021-04-29"
"16.670.085/0001-55","2021-01-01",8,109035,36546,1263,799,593944309,78.308558,0,0,593944309,78.308558,"2021-04-27"
"16.676.520/0001-59","2021-01-01",10,110566,5100,64,166,108296472,28.325405,0,0,108296472,28.325405,"2021-10-29"
"16.811.931/0001-00","2021-01-01",4,110453,353,6,46,4502452,20.086,0,0,4502452,20.086,"2021-04-29"
"16.922.038/0001-51","2021-01-01",10,110751,19433,400,400,158821493,79.630527,0,0,158821493,79.630527,"2021-05-12"
"17.155.730/0001-64","2021-01-01",5,110608,201266,2118,1724,277516331,49.03,1114214662,98.84,1391730993,82.19,"2021-04-30"
"17.159.229/0001-76","2021-01-01",4,109065,6,0,0,0,0,0,0,0,0,"2021-07-19"
"17.161.241/0001-15","2021-01-01",1,103287,983,173,0,1603,7.15,3879,17.3,5482,12.22,"2021-04-23"
"17.162.082/0001-73","2021-01-01",1,104557,3531,41,21,17673,0.171426,313613,3.042014,331286,3.21344,"2020-04-30"
"17.167.396/0001-69","2021-01-01",1,105233,14355,2425,7,3211758,6.980317,17661752,45.672255,20873510,24.64921,"2021-03-31"
"17.167.412/0001-13","2021-01-01",3,106039,4226,450,13,5959590,10.146354,19006438,42.994875,24966028,24.252388,"2021-03-31"
"17.184.037/0001-10","2021-01-01",12,110762,7511,808,15,21831344,33.51,28180436,71.03,50011780,47.71,"2021-04-20"
"17.193.806/0001-46","2021-01-01",1,105232,11864,1824,7,3839009,9.50369,11193821,33.664153,15032830,20.412176,"2021-03-31"
"17.234.244/0001-31","2021-01-01",2,109272,0,2,0,550871212,100,0,0,550871212,100,"2021-03-23"
"17.245.234/0001-00","2021-01-01",1,104910,2211,28,4,2067155,36.22,3767987,87.77,5835142,58.35,"2021-04-30"
"17.281.106/0001-03","2021-01-01",12,110978,70572,895,130,188444559,49.557669,0,0,188444559,49.557669,"2021-04-30"
"17.314.329/0001-20","2021-01-01",11,110845,44088,1,390,264997832,92.537021,0,0,264997832,92.537021,"2021-11-30"
"17.344.597/0001-94","2021-01-01",11,109920,326557,2855,1173,671629692,33.581,0,0,671629692,33.581,"2021-04-29"
"17.943.792/0001-30","2021-01-01",2,110131,4,0,0,0,0,0,0,0,0,"2021-08-30"
"18.174.270/0001-84","2021-01-01",9,108553,1,0,1,41502370,31.42,0,0,41502370,31.42,"2021-05-25"
"18.328.118/0001-09","2021-01-01",11,110649,84573,314,1101,301553522,69.313,0,0,301553522,69.313,"2021-11-23"
"18.483.666/0001-03","2021-01-01",5,108468,1,1,0,4963200,5.6,0,0,4963200,5.6,"2021-06-21"
"18.494.485/0001-82","2021-01-01",1,105102,0,1,0,0,0,0,0,0,0,"2021-04-30"
"18.572.225/0001-88","2021-01-01",1,105428,0,1,0,3.8e+08,100,0,0,3.8e+08,100,"2018-09-27"
"18.593.815/0001-97","2021-01-01",5,110847,18933,169,47,38091055,98.35,0,0,38091055,98.35,"2021-04-30"
"18.903.785/0001-78","2021-01-01",1,108755,0,2,0,0,0,0,0,0,0,"2021-09-23"
"19.208.022/0001-70","2021-01-01",13,110616,0,1,0,0,0,0,0,0,0,"2021-04-27"
"19.276.528/0001-16","2021-01-01",2,109152,0,1,0,0,0,0,0,0,0,"2020-05-22"
"19.296.342/0001-29","2021-01-01",3,109093,0,3,0,0,0,0,0,0,0,"2021-04-30"
"19.378.769/0001-76","2021-01-01",3,108347,16772,151,210,41617930,31.775,0,0,41617930,31.775,"2021-04-30"
"19.403.252/0001-90","2021-01-01",6,108955,7,0,0,0,0,0,0,0,0,"2021-07-31"
"19.521.322/0001-04","2021-01-01",2,106085,0,1,0,0,0,0,0,0,0,"2017-09-01"
"19.526.748/0001-50","2021-01-01",1,104905,152,6,0,44070,30.5621,217,19.5672,44287,30.4782,"2020-06-17"
"19.527.586/0001-75","2021-01-01",1,105339,0,3,0,0,0,0,0,0,0,"2021-04-30"
"19.527.639/0001-58","2021-01-01",3,110897,0,1,0,0,0,0,0,0,0,"2021-04-29"
"19.642.306/0001-70","2021-01-01",1,105305,0,1,0,0,0,0,0,0,0,"2021-04-05"
"19.726.048/0001-00","2021-01-01",4,108650,0,1,0,0,0,0,0,0,0,"2021-04-28"
"19.796.586/0001-70","2021-01-01",4,109113,11,0,1,96163268,21.41,0,0,96163268,21.41,"2021-05-31"
"19.851.496/0001-35","2021-01-01",1,104807,1,1,0,0,0,0,0,0,0,"2014-03-25"
"19.853.511/0001-84","2021-01-01",5,110327,21912,2030,0,592114608,96.241,0,0,592114608,96.241,"2021-04-26"
"20.247.322/0001-47","2021-01-01",9,108588,6,0,2,30318710,32.53,0,0,30318710,32.53,"2021-04-08"
"20.258.278/0001-70","2021-01-01",3,108254,7742,130,15,23582833,43.71,0,0,23582833,43.71,"2021-04-09"
"20.451.953/0001-83","2021-01-01",3,106697,0,1,0,501000,100,0,0,501000,100,"2019-12-16"
"20.646.442/0001-17","2021-01-01",1,104688,1,1,0,0,0,0,0,0,0,"2020-07-30"
"21.110.778/0001-23","2021-01-01",2,110513,12,1,0,405462,0.24,810924,0.48,1216386,0.36,"2021-03-31"
"21.240.146/0001-84","2021-01-01",5,106642,20,0,8,63417143,37.01,0,0,63417143,37.01,"2021-06-18"
"21.254.073/0001-80","2021-01-01",1,110887,600,5,0,9116000,100,0,0,9116000,100,"2021-05-03"
"21.255.567/0001-89","2021-01-01",2,110569,6100,1,1,3420580,8.99,20503614,27.99,23924194,21.5,"2021-04-30"
"21.262.638/0001-70","2021-01-01",1,104858,0,4,0,0,0,0,0,0,0,"2019-12-03"
"21.314.559/0001-66","2021-01-01",9,110811,0,421,313,133440549,44.6,0,0,133440549,44.6,"2021-04-28"
"21.389.501/0001-81","2021-01-01",5,109676,1,2,18,0,0,85702404,99.999999,85702404,11.999943,"2021-10-29"
"21.414.457/0001-12","2021-01-01",2,109345,0,1,0,0,0,0,0,0,0,"2020-02-11"
"21.610.416/0001-00","2021-01-01",1,105037,2,0,0,0,0,0,0,0,0,"2014-10-29"
"21.948.105/0001-47","2021-01-01",1,105489,0,1,1,0,0,0,0,0,0,"2018-06-01"
"21.976.484/0001-89","2021-01-01",1,104862,1,1,0,0,0,0,0,0,0,"2019-02-19"
"21.976.510/0001-79","2021-01-01",1,105492,0,1,1,0,0,0,0,0,0,"2018-06-01"
"22.163.297/0001-49","2021-01-01",8,110615,0,1,0,0,0,0,0,0,0,"2021-04-27"
"22.266.175/0001-88","2021-01-01",1,105201,1829,51,0,15626962,29.015504,0,0,15626962,29.015504,"2018-04-26"
"22.495.265/0001-40","2021-01-01",1,105159,2,0,0,0,0,0,0,0,0,"2015-04-15"
"22.543.331/0001-00","2021-01-01",7,110505,107950,1328,4,517500000,17.25,0,0,517500000,17.25,"2021-04-26"
"22.677.520/0001-76","2021-01-01",1,104770,2454,1501,2,300523,2.16,14357603,85.85,14658126,47.85,"2021-04-30"
"23.096.269/0001-19","2021-01-01",4,110839,0,2,0,2338108737,33.33,0,0,2338108737,33.33,"2020-07-29"
"23.236.821/0001-27","2021-01-01",1,105482,4,1,0,0,0,0,0,0,0,"2021-04-30"
"23.373.000/0001-32","2021-01-01",9,110813,0,1,74,266313930,27.26,0,0,266313930,27.26,"2021-08-13"
"23.438.929/0001-00","2021-01-01",3,109107,10,1,1,0,0,0,0,0,0,"2020-09-15"
"24.230.275/0001-80","2021-01-01",7,110981,6149,101,0,66384300,32.501,0,0,66384300,32.501,"2021-04-27"
"24.241.659/0001-06","2021-12-31",1,107941,3,0,0,0,0,0,0,0,0,"2021-04-27"
"24.396.489/0001-20","2021-01-01",4,108661,0,0,2,793889719,30,0,0,793889719,30,"2020-09-30"
"24.410.913/0001-44","2021-01-01",2,110651,4174,34,78,385491858,25.568,2805948474,99.792,3191440332,73.884,"2021-11-17"
"24.624.490/0001-65","2021-01-01",1,105454,0,1,0,5e+08,100,0,0,5e+08,100,"2018-03-01"
"24.624.551/0001-94","2021-01-01",1,105447,0,2,1,0,0,0,0,0,0,"2019-02-27"
"24.921.465/0001-43","2021-01-01",3,110330,4,1,4,0,0,0,0,0,0,"2021-09-01"
"24.962.466/0001-36","2021-01-01",1,105682,1,5,0,1107698070,93.12986,81714293,6.87014,1189412363,100,"2019-04-25"
"24.990.777/0001-09","2021-01-01",3,108253,66886,340,335,463952163,21,0,0,463952163,21,"2021-04-30"
"25.005.683/0001-09","2021-01-01",5,108594,2,1,0,0,0,0,0,0,0,"2018-10-05"
"25.089.509/0001-83","2021-01-01",3,110185,0,2,0,0,0,5,0.001,5,0.001,"2020-04-29"
"25.249.439/0001-83","2021-01-01",5,108190,9,0,3,0,0,0,0,0,0,"2021-03-23"
"25.369.840/0001-57","2021-01-01",6,110427,74,5,0,26919159,26.919159,0,0,26919159,26.919159,"2021-11-18"
"26.345.998/0001-50","2021-01-01",7,110501,9090,117,127,86248954,30.623054,0,0,86248954,30.623054,"2021-10-31"
"26.462.693/0001-28","2021-01-01",7,110611,28148713,93452280,93027659,93139429,43.396,0,0,93139429,43.396,"2020-08-31"
"26.609.050/0001-64","2021-01-01",1,105181,1,1,0,0,0,0,0,0,0,"2019-04-29"
"26.659.061/0001-59","2021-01-01",7,110741,16107,434,434,161437857,66.099242,0,0,161437857,66.099242,"2021-04-30"
"26.664.057/0001-89","2021-01-01",3,108781,0,1,0,580628065,100,0,0,580628065,100,"2018-03-08"
"26.735.020/0001-02","2021-01-01",9,109324,5733,35,76,42684181,47.609446,0,0,42684181,47.609446,"2021-04-30"
"26.845.702/0001-60","2021-01-01",1,105604,0,1,0,0,0,0,0,0,0,"2018-02-01"
"27.093.558/0001-15","2021-01-01",4,110418,18087,148,185,113954358,45.1897,0,0,113954358,45.1897,"2021-04-29"
"27.137.879/0001-74","2021-01-01",1,104887,2,1,0,0,0,0,0,0,0,"2017-02-03"
"27.157.474/0001-06","2021-01-01",2,106385,0,1,0,0,0,0,0,0,0,"2021-04-29"
"27.956.690/0001-03","2021-01-01",3,108507,4,1,0,0,0,0,0,0,0,"2020-12-31"
"27.967.244/0001-02","2021-01-01",1,105610,0,1,0,0,0,0,0,0,0,"2018-01-31"
"28.019.100/0001-89","2021-01-01",2,108898,0,1,0,0,0,0,0,0,0,"2019-03-11"
"28.127.603/0001-78","2021-01-01",8,109309,21034,55,9,12193731,5.277173,2462100,2.901803,14655831,4.639201,"2021-04-30"
"28.152.650/0001-71","2021-01-01",5,110932,0,1,0,5876012,100,0,0,5876012,100,"2020-04-30"
"28.195.667/0001-06","2021-01-01",5,108972,55327,523,251,0,0,68627529,60.924,68627529,30.354,"2021-04-30"
"28.201.130/0001-01","2021-01-01",3,110913,0,2,0,0,0,0,0,0,0,"2021-04-28"
"28.442.718/0001-57","2021-01-01",1,105480,0,1,0,0,0,0,0,0,0,"2021-04-09"
"28.925.264/0001-75","2021-01-01",2,109269,0,2,0,0,0,0,0,0,0,"2019-04-29"
"28.942.127/0001-49","2021-01-01",2,109270,0,2,0,0,0,0,0,0,0,"2021-04-01"
